CurveID,PointID,PosX,PosY,PosZ,TanX,TanY,TanZ
3,29,52.5667,-36.6340,0.0000,0.9871,-0.1602,0.0
3,30,53.2669,-36.7477,0.0000,0.9978,-0.0659,0.0
3,31,54.0124,-36.7969,0.0000,0.9937,-0.1122,0.0
3,32,54.7595,-36.8812,0.0000,0.9549,-0.2968,0.0
3,33,55.4644,-37.1003,0.0000,0.8096,-0.5870,0.0
3,34,56.0821,-37.5482,0.0000,0.5766,-0.8170,0.0
3,35,56.5325,-38.1864,0.0000,0.2481,-0.9687,0.0
3,36,56.6991,-38.8370,0.0000,-0.3447,-0.9387,0.0
3,37,56.5064,-39.3618,0.0000,-0.7625,-0.6470,0.0
3,38,56.0185,-39.7758,0.0000,-0.8914,-0.4533,0.0
3,39,55.3293,-40.1263,0.0000,-0.9221,-0.3869,0.0
3,40,54.5325,-40.4606,0.0000,-0.9117,-0.4109,0.0
3,41,53.7221,-40.8259,0.0000,-0.8568,-0.5157,0.0
3,42,52.9886,-41.2674,0.0000,-0.7596,-0.6503,0.0
3,43,52.3714,-41.7958,0.0000,-0.6443,-0.7648,0.0
3,44,51.8677,-42.3938,0.0000,-0.5189,-0.8548,0.0
3,45,51.4735,-43.0431,0.0000,-0.3894,-0.9211,0.0
3,46,51.1850,-43.7255,0.0000,-0.2587,-0.9660,0.0
3,47,50.9982,-44.4228,0.0000,-0.1271,-0.9919,0.0
3,48,50.9093,-45.1169,0.0000,0.0073,-1.0000,0.0
3,49,50.9142,-45.7901,0.0000,0.1445,-0.9895,0.0
3,50,51.0084,-46.4350,0.0000,0.2777,-0.9607,0.0
3,51,51.1867,-47.0519,0.0000,0.3999,-0.9166,0.0
3,52,51.4440,-47.6414,0.0000,0.5069,-0.8620,0.0
3,53,51.7750,-48.2043,0.0000,0.5971,-0.8022,0.0
3,54,52.1746,-48.7412,0.0000,0.6711,-0.7413,0.0
3,55,52.6376,-49.2527,0.0000,0.7309,-0.6825,0.0
3,56,53.1589,-49.7395,0.0000,0.7788,-0.6273,0.0
3,57,53.7333,-50.2021,0.0000,0.8170,-0.5766,0.0
3,58,54.3557,-50.6414,0.0000,0.8475,-0.5307,0.0
3,59,55.0208,-51.0579,0.0000,0.8720,-0.4894,0.0
3,60,55.7234,-51.4522,0.0000,0.8918,-0.4524,0.0
3,61,56.4585,-51.8251,0.0000,0.9079,-0.4193,0.0
3,62,57.2208,-52.1772,0.0000,0.9209,-0.3897,0.0
3,63,58.0052,-52.5091,0.0000,0.9317,-0.3632,0.0
3,64,58.8064,-52.8214,0.0000,0.9406,-0.3396,0.0
3,65,59.6194,-53.1150,0.0000,0.9479,-0.3184,0.0
3,66,60.4390,-53.3903,0.0000,0.9541,-0.2995,0.0
3,67,61.2599,-53.6480,0.0000,0.9592,-0.2827,0.0
3,68,62.0771,-53.8888,0.0000,0.9635,-0.2677,0.0
3,69,62.8853,-54.1134,0.0000,0.9671,-0.2545,0.0
3,70,63.6794,-54.3223,0.0000,0.9701,-0.2429,0.0
3,71,64.4542,-54.5163,0.0000,0.9725,-0.2330,0.0
3,72,65.2047,-54.6961,0.0000,0.9738,-0.2272,0.0
3,73,65.9314,-54.8656,0.0000,0.9736,-0.2283,0.0
3,74,66.6391,-55.0315,0.0000,0.9716,-0.2367,0.0
3,75,67.3328,-55.2006,0.0000,0.9675,-0.2527,0.0
3,76,68.0177,-55.3794,0.0000,0.9612,-0.2758,0.0
3,77,68.6987,-55.5749,0.0000,0.9523,-0.3053,0.0
3,78,69.3810,-55.7936,0.0000,0.9404,-0.3400,0.0
3,79,70.0674,-56.0417,0.0000,0.9249,-0.3802,0.0
3,80,70.7514,-56.3229,0.0000,0.9045,-0.4265,0.0
3,81,71.4240,-56.6400,0.0000,0.8777,-0.4792,0.0
3,82,72.0760,-56.9960,0.0000,0.8427,-0.5384,0.0
3,83,72.6984,-57.3936,0.0000,0.7970,-0.6039,0.0
3,84,73.2822,-57.8360,0.0000,0.7381,-0.6747,0.0
3,85,73.8182,-58.3259,0.0000,0.6634,-0.7483,0.0
3,86,74.2973,-58.8663,0.0000,0.5723,-0.8201,0.0
3,87,74.7110,-59.4592,0.0000,0.4741,-0.8804,0.0
3,88,75.0557,-60.0992,0.0000,0.3748,-0.9271,0.0
